width,curb-weight,engine-size,horsepower,highway-mpg,price
64.1,2548,130,111.0,27,13495.0
64.1,2548,130,111.0,27,16500.0
65.5,2823,152,154.0,26,16500.0
66.2,2337,109,102.0,30,13950.0
66.4,2824,136,115.0,22,17450.0
66.3,2507,136,110.0,25,15250.0
71.4,2844,136,110.0,25,17710.0
71.4,2954,136,110.0,25,18920.0
71.4,3086,131,140.0,20,23875.0
67.9,3053,131,160.0,22,10295.0
64.8,2395,108,101.0,29,16430.0
64.8,2395,108,101.0,29,16925.0
64.8,2710,164,121.0,28,20970.0
64.8,2765,164,121.0,28,21105.0
66.9,3055,164,121.0,25,24565.0
66.9,3230,209,182.0,22,30760.0
67.9,3380,209,182.0,22,41315.0
70.9,3505,209,182.0,20,36880.0
60.3,1488,61,48.0,53,5151.0
63.6,1874,90,70.0,43,6295.0
63.6,1909,90,70.0,43,6575.0
63.8,1876,90,68.0,41,5572.0
63.8,1876,90,68.0,38,6377.0
63.8,2128,98,102.0,30,7957.0
63.8,1967,90,68.0,38,6229.0
63.8,1989,90,68.0,38,6692.0
63.8,1989,90,68.0,38,7609.0
63.8,2191,98,102.0,30,8558.0
64.6,2535,122,88.0,30,8921.0
66.3,2811,156,145.0,24,12964.0
63.9,1713,92,58.0,54,6479.0
63.9,1819,92,76.0,38,6855.0
64.0,1837,79,60.0,42,5399.0
64.0,1940,92,76.0,34,6529.0
64.0,1956,92,76.0,34,7129.0
64.0,2010,92,76.0,34,7295.0
63.9,2024,92,76.0,34,7295.0
65.2,2236,110,86.0,33,7895.0
65.2,2289,110,86.0,33,9095.0
65.2,2304,110,86.0,33,8845.0
62.5,2372,110,86.0,33,10295.0
65.2,2465,110,101.0,28,12945.0
66.0,2293,110,100.0,31,10345.0
61.8,2337,111,78.0,29,6785.0
63.6,1874,90,70.0,43,10295.0
63.6,1909,90,70.0,43,10295.0
65.2,2734,119,90.0,29,11048.0
69.6,4066,258,176.0,19,32250.0
69.6,4066,258,176.0,19,35550.0
70.6,3950,326,262.0,17,36000.0
64.2,1890,91,68.0,31,5195.0
64.2,1900,91,68.0,38,6095.0
64.2,1905,91,68.0,38,6795.0
64.2,1945,91,68.0,38,6695.0
64.2,1950,91,68.0,38,7395.0
65.7,2380,70,101.0,23,10945.0
65.7,2380,70,101.0,23,11845.0
65.7,2385,70,101.0,23,13645.0
65.7,2500,80,135.0,23,15645.0
66.5,2385,122,84.0,32,8845.0
66.5,2410,122,84.0,32,8495.0
66.5,2385,122,84.0,32,10595.0
66.5,2410,122,84.0,32,10245.0
66.5,2443,122,64.0,42,10795.0
66.5,2425,122,84.0,32,11245.0
66.1,2670,140,120.0,27,18280.0
66.1,2700,134,72.0,39,18344.0
70.3,3515,183,123.0,25,25552.0
70.3,3750,183,123.0,25,28248.0
70.3,3495,183,123.0,25,28176.0
71.7,3770,183,123.0,25,31600.0
71.7,3740,234,155.0,18,34184.0
70.5,3685,234,155.0,18,35056.0
71.7,3900,308,184.0,16,40960.0
72.0,3715,304,184.0,16,45400.0
68.0,2910,140,175.0,24,16503.0
64.4,1918,92,68.0,41,5389.0
64.4,1944,92,68.0,38,6189.0
64.4,2004,92,68.0,38,6669.0
63.8,2145,98,102.0,30,7689.0
65.4,2370,110,116.0,30,9959.0
65.4,2328,122,88.0,32,8499.0
66.3,2833,156,145.0,24,12629.0
66.3,2921,156,145.0,24,14869.0
66.3,2926,156,145.0,24,14489.0
65.4,2365,122,88.0,32,6989.0
65.4,2405,122,88.0,32,8189.0
65.4,2403,110,116.0,30,9279.0
65.4,2403,110,116.0,30,9279.0
63.8,1889,97,69.0,37,5499.0
63.8,2017,103,55.0,50,7099.0
63.8,1918,97,69.0,37,6649.0
63.8,1938,97,69.0,37,6849.0
63.8,2024,97,69.0,37,7349.0
63.8,1951,97,69.0,37,7299.0
63.8,2028,97,69.0,37,7799.0
63.8,1971,97,69.0,37,7499.0
63.8,2037,97,69.0,37,7999.0
63.8,2008,97,69.0,37,8249.0
65.2,2324,120,97.0,34,8949.0
65.2,2302,120,97.0,34,9549.0
66.5,3095,181,152.0,22,13499.0
66.5,3296,181,152.0,22,14399.0
66.5,3060,181,152.0,25,13499.0
67.9,3071,181,160.0,25,17199.0
67.9,3139,181,200.0,23,19699.0
67.9,3139,181,160.0,25,18399.0
68.4,3020,120,97.0,24,11900.0
68.4,3197,152,95.0,33,13200.0
68.4,3230,120,97.0,24,12440.0
